Feature,IC,IR
MINUS_DI,0.03310445459236787,0.08222557446294694
OBV,0.01613179114521371,0.038761998301835916
ADX_14,0.01592106235034023,0.04048373479857203
AROON_DOWN,0.01430720319256723,0.03707765484868911
open,0.014221482089221707,0.033391234014146086
high,0.014221482089221707,0.033391234014146086
ATR_14,0.014221482089221707,0.033391234014146086
close,0.014221482089221707,0.033391234014146086
low,0.014221482089221707,0.033391234014146086
TRANGE,0.01271522699528968,0.029847400142670795
STOCHRSI_D,0.006509954352998738,0.01591989279989584
MACD_SIG,1.8660783104480053e-05,4.6336635706810216e-05
AROON_UP,-0.003278844321355298,-0.008602622564278092
volume,-0.0037849106620180405,-0.009196022434204792
MACD,-0.003824507318932784,-0.009437779352988035
MOM_10,-0.004968233512816967,-0.012106949163469109
STOCHRSI_K,-0.005072279394688699,-0.013317378658848316
BB_WIDTH,-0.005572841285714103,-0.012758351460374441
AD,-0.00586284873835931,-0.015022652269888791
MACD_HIST,-0.00681462466117076,-0.016484548617274542
VOL_RATIO,-0.0073623466219222425,-0.017687654545354158
ADOSC,-0.008000347350348633,-0.02069258007625601
AROON_OSC,-0.010232374938303425,-0.0267524736831727
WILLR_14,-0.011657077952654615,-0.029567419626944178
RET_1H,-0.016394219986135626,-0.038128421560903236
MFI_14,-0.016814734709319448,-0.044290783930753495
RSI_6,-0.019191915624019312,-0.049482091146471036
KDJ_K,-0.02028767383437664,-0.052587377968352035
KDJ_J,-0.020444188272366663,-0.05068352075909202
RET_6H,-0.021377185671377367,-0.05243639804866029
KDJ_D,-0.022302640137883037,-0.056619845844449054
BB_PCT,-0.023925456052064836,-0.06057262523667328
ROC_10,-0.026446815802468694,-0.06506573418011455
PLUS_DI,-0.026897226900052702,-0.06816253122384701
RSI_12,-0.02709432353349172,-0.06833685265019578
CCI_14,-0.028579874966765815,-0.07315584394566552
RET_3H,-0.028845289551804307,-0.07016078065195584
RET_12H,-0.029262229356893734,-0.0715034872884069
CMO_14,-0.030065465803770834,-0.07625647167412018
NATR_14,-0.034248298526948315,-0.06894669486762577
RSI_24,-0.035128967302201816,-0.08851687105043922
TRIX_30,-0.04176232751334866,-0.10103492102876047
RET_24H,-0.045719738672958816,-0.10984329477560378
timestamp,,
